YEAR,PLAYER,TEAM,AGE,GP,W,L,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_MR,PCT_PTS_3PT,PCT_PTS_FSTBRK,PCT_PTS_FT,PCT_PTS_OFF_TOS,PCT_PTS_INTHEPT,PCT_2PTGFM_ASSTD,PCT_2PTGFM_UNASSTD,PCT_3PTGFM_ASSTD,PCT_3PTGFM_UNASSTD,PCT_FGM_ASSTD,PCT_FGM_UNASSTD
2018-2019,Dennis Schroder,OKC,25,79,47,32,29.3,67,33,54.4,16.2,30.4,15.8,15.2,14.5,38.2,16.5,83.5,79.8,20.2,33.7,66.3
2018-2019,Dennis Smith Jr.,NYK,21,53,21,32,28.5,68,32,58.4,10.5,27.8,17.7,13.7,18.1,47.9,25.1,74.9,64.2,35.8,34.5,65.5
2018-2019,Deonte Burton,OKC,25,32,21,11,7.5,67.1,32.9,61,7.3,29.3,12.2,9.8,24.4,53.7,72,28,100,0,78.8,21.2
2018-2019,Derrick Favors,UTA,27,76,46,30,23.2,87.4,12.6,77.1,4.7,5.7,3.6,17.2,12.4,72.5,75.4,24.6,100,0,76.6,23.4
2018-2019,Derrick Jones Jr.,MIA,22,60,31,29,19.2,71.9,28.1,62.6,1.4,19.9,15.4,17.5,24.4,61.1,65.2,34.8,100,0,71.3,28.8
2018-2019,Derrick Rose,MIN,30,51,24,27,27.3,80.6,19.4,67.4,21.2,17.7,11.7,14.9,12,46.2,24.9,75.1,68.5,31.5,31.4,68.6
2018-2019,Derrick White,SAS,24,67,41,26,25.8,73.8,26.2,64,15.7,21.7,12.2,14.3,14.2,48.3,42.9,57.1,83.3,16.7,50.4,49.6
2018-2019,Devin Booker,PHX,22,64,15,49,35,67,33,53.1,15.4,23.8,16.2,23.1,13.8,37.6,29.5,70.5,57.8,42.2,36,64
2018-2019,Devin Harris,DAL,36,68,28,40,15.7,42.4,57.6,32.7,3.7,43.5,14.3,23.8,11,29,57.1,42.9,87.1,12.9,71.2,28.8
2018-2019,Devin Robinson,WAS,24,7,1,6,13.5,93.8,6.3,80.9,12.8,0,8.5,19.1,4.3,68.1,73.7,26.3,0,0,73.7,26.3
2018-2019,Devonte' Graham,CHA,24,46,18,28,14.7,44,56,36.9,9.2,47,18,16.1,6,27.6,30,70,76.5,23.5,51.4,48.6
2018-2019,Dewayne Dedmon,ATL,29,64,24,40,25.1,58.7,41.3,50.8,4.9,35.9,7.4,13.3,12,45.9,80.1,19.9,97.6,2.4,85.7,14.3
2018-2019,Deyonta Davis,ATL,22,9,3,6,13.2,95.5,4.5,83.3,5.6,0,11.1,16.7,16.7,77.8,80,20,0,0,80,20
2018-2019,Dillon Brooks,MEM,23,18,9,9,18.3,67.2,32.8,50.4,10.4,33.3,9.6,16.3,25.2,40,64.7,35.3,100,0,75.5,24.5
2018-2019,Dion Waiters,MIA,27,44,20,24,25.9,39.5,60.5,33.8,6.8,62,7.6,4.2,9.9,26.9,28.1,71.9,82.6,17.4,58.1,41.9
2018-2019,Dirk Nowitzki,DAL,40,51,17,34,15.6,45.5,54.5,38.1,29.5,51.5,4.6,10.5,7.8,8.6,81.7,18.3,100,0,90.4,9.6
2018-2019,Domantas Sabonis,IND,23,74,43,31,24.8,97.6,2.4,77.5,9.4,2.6,4.7,19.9,15.1,68.1,65.6,34.4,100,0,66.3,33.7
2018-2019,Donatas Motiejunas,SAS,28,3,3,0,4.3,100,0,100,0,0,0,0,0,100,100,0,0,0,100,0
2018-2019,Donovan Mitchell,UTA,22,77,49,28,33.7,66.1,33.9,51.7,9.2,30.8,9.7,17.4,13.9,42.5,23.7,76.3,58,42,33.4,66.6
2018-2019,Donte DiVincenzo,MIL,22,27,20,7,15.2,33.1,66.9,42.7,1.5,50.4,28.2,6.9,16,41.2,67.9,32.1,90.9,9.1,78,22
2018-2019,Donte Grantham,OKC,24,3,2,1,0.8,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019,Dorian Finney-Smith,DAL,26,81,33,48,24.5,51.9,48.1,49,3,39,16.8,12,15.3,46.1,59.1,40.9,96.2,3.8,71.9,28.1
2018-2019,Doug McDermott,IND,27,77,43,34,17.4,51.2,48.8,43.6,8.9,44.7,12.8,11.7,11.3,34.8,91.9,8.1,100,0,95.2,4.8
2018-2019,Dragan Bender,PHX,21,46,9,37,18,48.7,51.3,57.4,0,28.7,11.3,13.9,18.7,57.4,68.2,31.8,100,0,76.1,23.9
2018-2019,Draymond Green,GSW,29,66,48,18,31.3,60.9,39.1,58,4.9,29,19.1,13,13.6,53.1,70.2,29.8,93.6,6.4,76.1,23.9
2018-2019,Drew Eubanks,SAS,22,23,13,10,4.9,100,0,73.2,4.9,0,0,26.8,4.9,68.3,73.3,26.7,0,0,73.3,26.7
2018-2019,Duncan Robinson,MIA,25,15,7,8,10.7,23.9,76.1,32,8,60,24,8,20,24,87.5,12.5,100,0,94.4,5.6
2018-2019,Dusty Hannahs,MEM,25,2,0,2,13,58.3,41.7,75,0,0,25,25,25,75,100,0,0,0,100,0
2018-2019,Dwayne Bacon,CHA,23,43,20,23,17.6,66.1,33.9,53.2,4.4,36.1,16.5,10.8,13.6,48.7,60.7,39.3,73.7,26.3,64.8,35.2
2018-2019,Dwight Howard,WAS,33,9,4,5,25.5,100,0,74.8,7,0,7,25.2,18.3,67.8,74.4,25.6,0,0,74.4,25.6
2018-2019,Dwight Powell,DAL,27,77,31,46,21.6,73.9,26.1,61.6,0.2,14.4,6.7,24,10.9,61.3,84.1,15.9,100,0,86.2,13.8
2018-2019,Dwyane Wade,MIA,37,72,35,37,26.2,72.8,27.2,60.9,14,23.8,9.4,15.2,13.8,46.9,33.3,66.7,54.7,45.3,37.7,62.3
2018-2019,Dzanan Musa,BKN,20,9,4,5,4.4,54.5,45.5,84.2,10.5,15.8,0,0,0,73.7,75,25,100,0,77.8,22.2
2018-2019,E'Twaun Moore,NOP,30,53,21,32,27.6,66.9,33.1,56.9,8.2,36,17.9,7.1,13.4,48.7,69.4,30.6,92.1,7.9,76.2,23.8
2018-2019,Ed Davis,BKN,30,81,42,39,17.9,99.3,0.7,78.8,0,0,1.5,21.2,12.1,78.8,60.2,39.8,0,0,60.2,39.8
2018-2019,Edmond Sumner,IND,23,23,14,9,9.1,57.8,42.2,45.5,6.1,31.8,13.6,22.7,21.2,39.4,60,40,85.7,14.3,68.2,31.8
2018-2019,Ekpe Udoh,UTA,32,51,35,16,6.3,100,0,84,0,0,2.5,16,13.4,84,72,28,0,0,72,28
